"x_data    "	"FFTMAG(Rectangular(.plot_2.curve_1.y_data),164998)"
3.979800e+003	1.058680e+000
3.979850e+003	9.582853e-001
3.979900e+003	5.902713e-001
3.979950e+003	5.395711e-001
3.980000e+003	5.139476e-001
3.980050e+003	5.028447e-001
3.980100e+003	9.742896e-001
3.980150e+003	7.284349e-001
3.980200e+003	6.374645e-001
3.980250e+003	2.467746e-001
3.980300e+003	3.488695e-001
3.980350e+003	5.344926e-001
3.980400e+003	7.779986e-001
3.980450e+003	1.163053e+000
3.980500e+003	8.921626e-001
3.980550e+003	7.420637e-001
3.980600e+003	8.178135e-001
3.980650e+003	7.181212e-001
3.980700e+003	5.845064e-001
3.980750e+003	5.190379e-001
3.980800e+003	6.700377e-001
3.980850e+003	1.090187e+000
3.980900e+003	9.933275e-001
3.980950e+003	1.021510e+000
3.981000e+003	5.902290e-001
3.981050e+003	1.979140e-001
3.981100e+003	4.786920e-001
3.981150e+003	6.935391e-001
3.981200e+003	9.868693e-001
3.981250e+003	5.840013e-001
3.981300e+003	6.276067e-001
3.981350e+003	4.619358e-001
3.981400e+003	4.554455e-001
3.981450e+003	4.444056e-001
3.981500e+003	1.165998e-001
3.981550e+003	1.116163e-001
3.981600e+003	1.320386e-001
3.981650e+003	2.099251e-001
3.981700e+003	4.307022e-001
3.981750e+003	5.088119e-001
3.981800e+003	4.492978e-001
3.981850e+003	4.943145e-001
3.981900e+003	5.017450e-001
3.981950e+003	3.424912e-001
3.982000e+003	3.133540e-001
3.982050e+003	9.212680e-001
3.982100e+003	7.715385e-001
3.982150e+003	9.557414e-001
3.982200e+003	8.513802e-001
3.982250e+003	9.847330e-001
3.982300e+003	1.048579e+000
3.982350e+003	2.320994e-001
3.982400e+003	8.865453e-001
3.982450e+003	1.012166e+000
3.982500e+003	5.622816e-001
3.982550e+003	5.934458e-001
3.982600e+003	7.918920e-001
3.982650e+003	5.751895e-001
3.982700e+003	6.894440e-001
3.982750e+003	1.092193e+000
3.982800e+003	7.204034e-001
3.982850e+003	3.981359e-001
3.982900e+003	7.250718e-001
3.982950e+003	7.635664e-001
3.983000e+003	2.811111e-001
3.983050e+003	3.812511e-001
3.983100e+003	8.037588e-001
3.983150e+003	7.339509e-001
3.983200e+003	1.295720e+000
3.983250e+003	1.216607e+000
3.983300e+003	1.205511e+000
3.983350e+003	1.088940e-001
3.983400e+003	8.330613e-001
3.983450e+003	6.580731e-001
3.983500e+003	6.230542e-001
3.983550e+003	3.300415e-001
3.983600e+003	7.453579e-001
3.983650e+003	5.166030e-001
3.983700e+003	5.097907e-001
3.983750e+003	8.053191e-001
3.983800e+003	1.035582e+000
3.983850e+003	1.049891e+000
3.983900e+003	5.323906e-001
3.983950e+003	3.722781e-001
3.984000e+003	7.527779e-001
3.984050e+003	8.086958e-001
3.984100e+003	4.886555e-001
3.984150e+003	1.346118e+000
3.984200e+003	1.418568e+000
3.984250e+003	1.537970e+000
3.984300e+003	1.574242e+000
3.984350e+003	9.662599e-001
3.984400e+003	6.705378e-001
3.984450e+003	7.001134e-001
3.984500e+003	6.351761e-001
3.984550e+003	5.763718e-001
3.984600e+003	4.612845e-001
3.984650e+003	4.615258e-001
3.984700e+003	5.585982e-001
3.984750e+003	4.413674e-001
3.984800e+003	1.752363e-001
3.984850e+003	1.920912e-001
3.984900e+003	6.848966e-001
3.984950e+003	8.282486e-001
3.985000e+003	8.023670e-001
3.985050e+003	5.278369e-001
3.985100e+003	4.601541e-001
3.985150e+003	7.625439e-001
3.985200e+003	7.492129e-001
3.985250e+003	7.796878e-001
3.985300e+003	4.992813e-001
3.985350e+003	6.067225e-001
3.985400e+003	5.106189e-001
3.985450e+003	4.127645e-001
3.985500e+003	1.124151e+000
3.985550e+003	1.085535e+000
3.985600e+003	6.476717e-001
3.985650e+003	8.566397e-001
3.985700e+003	3.163119e-001
3.985750e+003	4.802960e-001
3.985800e+003	1.088339e+000
3.985850e+003	8.914229e-001
3.985900e+003	4.891037e-001
3.985950e+003	9.517635e-001
3.986000e+003	7.874792e-001
3.986050e+003	8.253737e-001
3.986100e+003	4.783843e-001
3.986150e+003	1.099198e+000
3.986200e+003	1.004609e+000
3.986250e+003	3.383054e-001
3.986300e+003	3.743124e-001
3.986350e+003	3.904279e-001
3.986400e+003	3.400504e-001
3.986450e+003	6.110677e-001
3.986500e+003	4.352853e-001
3.986550e+003	4.148858e-001
3.986600e+003	5.898515e-001
3.986650e+003	5.292526e-001
3.986700e+003	5.696002e-001
3.986750e+003	3.371531e-001
3.986800e+003	1.712581e-001
3.986850e+003	5.842621e-001
3.986900e+003	5.327944e-001
3.986950e+003	7.311388e-001
3.987000e+003	4.233593e-001
3.987050e+003	3.836425e-001
3.987100e+003	2.451427e-001
3.987150e+003	4.037743e-001
3.987200e+003	6.054180e-001
3.987250e+003	5.692977e-001
3.987300e+003	4.055966e-001
3.987350e+003	2.588328e-001
3.987400e+003	3.754550e-001
3.987450e+003	1.560204e-001
3.987500e+003	2.700531e-001
3.987550e+003	1.941516e-001
3.987600e+003	3.985149e-001
3.987650e+003	3.298534e-001
3.987700e+003	3.366459e-001
3.987750e+003	2.935761e-001
3.987800e+003	8.786033e-001
3.987850e+003	6.094281e-001
3.987900e+003	2.524136e-001
3.987950e+003	4.859813e-001
